,time (hours),total gpu demand (%)
0,0.11361111111111111,0.78125
1,0.26416666666666666,1.5625
2,0.2925,2.34375
3,0.4166666666666667,1.5625
4,0.41805555555555557,2.34375
5,0.42833333333333334,3.125
6,0.43194444444444446,3.90625
7,0.45944444444444443,4.6875
8,0.5619444444444445,5.46875
9,0.5866666666666667,6.25
10,0.6472222222222223,7.03125
11,0.7461111111111111,7.8125
12,0.9041666666666667,8.59375
13,1.0,7.8125
14,1.0375,8.59375
15,1.073888888888889,9.375
16,1.1666666666666667,8.59375
17,1.4241666666666666,9.375
18,1.436388888888889,10.15625
19,1.4477777777777778,10.9375
20,1.5,10.15625
21,1.5508333333333333,10.9375
22,1.696388888888889,11.71875
23,1.7113888888888888,12.5
24,1.7205555555555556,13.28125
25,1.8333333333333333,12.5
26,1.8333333333333333,11.71875
27,1.9172222222222222,12.5
28,2.0,11.71875
29,2.1580555555555554,12.5
30,2.253888888888889,13.28125
31,2.2591666666666668,14.0625
32,2.424166666666667,14.84375
33,2.6391666666666667,15.625
34,2.6925,16.40625
35,2.8047222222222223,17.1875
36,2.8247222222222224,17.96875
37,2.851111111111111,18.75
38,2.9166666666666665,17.96875
39,2.9858333333333333,18.75
40,3.0902777777777777,19.53125
41,3.1752777777777776,20.3125
42,3.1952777777777777,21.09375
43,3.230277777777778,21.875
44,3.2580555555555555,22.65625
45,3.4166666666666665,21.875
46,3.463888888888889,22.65625
47,3.4930555555555554,23.4375
48,3.5,22.65625
49,3.5833333333333335,21.875
50,3.6666666666666665,21.09375
51,3.674722222222222,21.875
52,3.7094444444444443,22.65625
53,3.9166666666666665,21.875
54,3.9811111111111113,22.65625
55,4.083333333333333,21.875
56,4.213611111111111,22.65625
57,4.240277777777778,23.4375
58,4.25,22.65625
59,4.296388888888889,23.4375
60,4.313611111111111,24.21875
61,4.345277777777778,25.0
62,4.431388888888889,25.78125
63,4.493611111111111,26.5625
64,4.550277777777778,27.34375
65,4.583333333333333,26.5625
66,4.666666666666667,25.78125
67,4.75,25.0
68,4.833333333333333,24.21875
69,5.0,23.4375
70,5.0,22.65625
71,5.166666666666667,21.875
72,5.208611111111111,22.65625
73,5.25,21.875
74,5.2877777777777775,22.65625
75,5.416666666666667,21.875
76,5.444444444444445,22.65625
77,5.463055555555556,23.4375
78,5.583333333333333,22.65625
79,5.637777777777778,23.4375
80,5.738611111111111,24.21875
81,5.792222222222223,25.0
82,5.833333333333333,24.21875
83,5.876111111111111,25.0
84,6.095277777777778,25.78125
85,6.222222222222222,26.5625
86,6.25,25.78125
87,6.349444444444444,26.5625
88,6.5,25.78125
89,6.503888888888889,26.5625
90,6.517222222222222,27.34375
91,6.536388888888889,28.125
92,6.878333333333333,28.90625
93,7.083333333333333,28.125
94,7.166666666666667,27.34375
95,7.25,26.5625
96,7.275277777777778,27.34375
97,7.354166666666667,28.125
98,7.416666666666667,27.34375
99,7.581388888888889,28.125
100,7.786388888888889,28.90625
101,7.890833333333333,29.6875
102,7.916666666666667,28.90625
103,7.9430555555555555,29.6875
104,8.0,28.90625
105,8.029444444444444,29.6875
106,8.25,28.90625
107,8.308055555555555,29.6875
108,8.351666666666667,30.46875
109,8.365,31.25
110,8.599444444444444,32.03125
111,8.63,32.8125
112,8.666666666666666,32.03125
113,8.666666666666666,31.25
114,8.75,30.46875
115,8.75,29.6875
116,8.863888888888889,30.46875
117,8.873888888888889,31.25
118,9.0,30.46875
119,9.062222222222223,31.25
120,9.223611111111111,32.03125
121,9.25,31.25
122,9.34361111111111,32.03125
123,9.363888888888889,32.8125
124,9.416666666666666,32.03125
125,9.416666666666666,31.25
126,9.5,30.46875
127,9.592777777777778,31.25
128,9.75,30.46875
129,9.916666666666666,29.6875
130,9.963333333333333,30.46875
131,10.0,29.6875
132,10.083333333333334,28.90625
133,10.12,29.6875
134,10.25,28.90625
135,10.258888888888889,29.6875
136,10.333333333333334,28.90625
137,10.416666666666666,28.125
138,10.851111111111111,28.90625
139,10.915277777777778,29.6875
140,10.916666666666666,28.90625
141,10.982222222222223,29.6875
142,11.0,28.90625
143,11.010555555555555,29.6875
144,11.013055555555555,30.46875
145,11.042222222222222,31.25
146,11.043055555555556,32.03125
147,11.071944444444444,32.8125
148,11.25,32.03125
149,11.290277777777778,32.8125
150,11.333333333333334,32.03125
151,11.370555555555555,32.8125
152,11.493611111111111,33.59375
153,11.579722222222221,34.375
154,11.675277777777778,35.15625
155,11.833333333333334,34.375
156,11.833333333333334,33.59375
